city,state,city_id,genus,species,scientific_name,district,cultivar,inventory_date,plant_year,block,lot,address,month.of.update,condition_date,maintained_by,scientific_name_old,nonmatch,word_count_name,genus_only,native,latitude,longitude
Jersey City,New Jersey,292,Nyssa,sylvatica,Nyssa sylvatica,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Nyssa sylvatica,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,296,Nyssa,sylvatica,Nyssa sylvatica,,,6,2016,19803,3,75 WOODWARD ST.,3,2019,Jersey City Redevelopment Agency,Nyssa sylvatica,FALSE,2,no,TRUE,40.7108088,-74.0678418
Jersey City,New Jersey,305,Platanus,occidentalis,Platanus occidentalis,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Platanus occidentalis,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,313,Platanus,occidentalis,Platanus occidentalis,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Platanus occidentalis,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,382,Quercus,rubra,Quercus rubra,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Quercus rubra,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,398,Quercus,rubra,Quercus rubra,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Quercus rubra,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,417,Quercus,rubra,Quercus rubra,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Quercus rubra,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,484,Quercus,rubra,Quercus rubra,,,6,2016,19803,3,75 WOODWARD ST.,3,2019,Jersey City Redevelopment Agency,Quercus rubra,FALSE,2,no,TRUE,40.7108088,-74.0678418
Jersey City,New Jersey,492,Quercus,rubra,Quercus rubra,,,6,2016,19803,3,75 WOODWARD ST.,3,2019,Jersey City Redevelopment Agency,Quercus rubra,FALSE,2,no,TRUE,40.7108088,-74.0678418
Jersey City,New Jersey,502,Quercus,bicolor,Quercus bicolor,,,6,2016,19803,8,942 GARFIELD AVE.,3,2019,Jersey City Redevelopment Agency,Quercus bicolor,FALSE,2,no,TRUE,40.7112642,-74.0694141
Jersey City,New Jersey,560,Quercus,bicolor,Quercus bicolor,,,6,2016,19803,21,INSIDE GARFIELD AVE.,3,2019,Jersey City Redevelopment Agency,Quercus bicolor,FALSE,2,no,TRUE,40.685772,-74.099794
Jersey City,New Jersey,583,Thuja,occidentalis,Thuja occidentalis,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Thuja occidentalis,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,585,Thuja,occidentalis,Thuja occidentalis,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Thuja occidentalis,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,600,Thuja,occidentalis,Thuja occidentalis,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Thuja occidentalis,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,610,Thuja,occidentalis,Thuja occidentalis,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Thuja occidentalis,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,621,Thuja,occidentalis,Thuja occidentalis,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Thuja occidentalis,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,631,Thuja,occidentalis,Thuja occidentalis,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Thuja occidentalis,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,634,Thuja,occidentalis,Thuja occidentalis,,,6,2016,18901,18,1 BERRY ROAD,3,2019,Jersey City Redevelopment Agency,Thuja occidentalis,FALSE,2,no,TRUE,41.217003,-74.658902
Jersey City,New Jersey,667,Thuja,occidentalis,Thuja occidentalis,,Smaragd,8,2015,16302,40,2565 KENNEDY BLVD.,3,2019,Jersey City Division of Architecture,Thuja occidentalis,FALSE,2,no,TRUE,40.3577992,-74.3644894
Jersey City,New Jersey,670,Thuja,occidentalis,Thuja occidentalis,,Smaragd,8,2015,16302,40,2565 KENNEDY BLVD.,3,2019,Jersey City Division of Architecture,Thuja occidentalis,FALSE,2,no,TRUE,40.3577992,-74.3644894
